Problem	q1vsq2	QI1	QI2	OverallAgreement	kTestEst	kTestJudg	kTestPvalue	bowkerP
TP2_2	GDvsGS	GD	GS	0.333333333333333	-0.282051282051282	No agreement	0.87222773585343	NA
TP2_3	IGDvsC	IGD	C	0.333333333333333	0.189189189189189	Slight agreement	0.0575373239105896	NA
TP2_3	EPvsC	EP	C	0.333333333333333	0.189189189189189	Slight agreement	0.0575373239105896	NA
TP2_3	GSvsC	GS	C	0.333333333333333	0.166666666666667	Slight agreement	0.0983528012294734	NA
RM	EPvsED	EP	ED	0.3	0.125	Slight agreement	0.214597650220175	0.0718977724964651
RM	GSvsED	GS	ED	0.3	0.125	Slight agreement	0.214597650220175	0.0718977724964651
RA	PFSvsC	PFS	C	0.266666666666667	0.145077720207254	Slight agreement	0.083807542945072	NA
TS	IGDvsC	IGD	C	0.266666666666667	0.131578947368421	Slight agreement	0.117546920867414	NA
TS	EPvsC	EP	C	0.266666666666667	0.149484536082474	Slight agreement	0.0737650060780729	NA
TS	GDvsC	GD	C	0.266666666666667	0.131578947368421	Slight agreement	0.117546920867414	NA
TS	EDvsC	ED	C	0.266666666666667	0.131578947368421	Slight agreement	0.117546920867414	NA
RP	GSvsPFS	GS	PFS	0.266666666666667	-0.18705035971223	No agreement	0.821476293127464	0.506165219093909
RP	PFSvsC	PFS	C	0.266666666666667	-0.0377358490566038	No agreement	0.589727283553032	0.261464129949111
TM	GSvsPFS	GS	PFS	0.266666666666667	-0.204379562043796	No agreement	0.838337383068571	0.320762120805639
TP1	HVvsC	HV	C	0.266666666666667	-0.1	No agreement	0.708058789614817	0.129003061437436
TP1	GSvsC	GS	C	0.266666666666667	-0.1	No agreement	0.708058789614817	0.129003061437436
TP2_1	EDvsC	ED	C	0.266666666666667	0.0833333333333333	Slight agreement	0.259302508214363	NA
TP2_2	HVvsED	HV	ED	0.266666666666667	-0.375	No agreement	0.939746315456673	NA
TP2_2	EPvsED	EP	ED	0.266666666666667	-0.375	No agreement	0.939746315456673	NA
TP2_2	GSvsED	GS	ED	0.266666666666667	-0.375	No agreement	0.939746315456673	NA
TP2_3	GDvsC	GD	C	0.266666666666667	0.108108108108108	Slight agreement	0.183940321389833	0.0117258755784214
TP2_3	EDvsC	ED	C	0.266666666666667	0.0833333333333333	Slight agreement	0.259302508214363	NA
TP2_3	PFSvsC	PFS	C	0.266666666666667	0.131578947368421	Slight agreement	0.117546920867414	0.0117258755784214
RA	HVvsC	HV	C	0.2	0.117647058823529	Slight agreement	0.0777829971356636	NA
RA	IGDvsC	IGD	C	0.2	0.117647058823529	Slight agreement	0.0777829971356636	NA
RA	EPvsC	EP	C	0.2	0.117647058823529	Slight agreement	0.0777829971356636	NA
RA	GDvsC	GD	C	0.2	0.117647058823529	Slight agreement	0.0777829971356636	NA
TS	GSvsC	GS	C	0.2	0.0625	Slight agreement	0.279652473446129	0.00738316050535977
TP1	EPvsC	EP	C	0.2	-0.2	No agreement	0.863339160853851	0.161630379381049
TP2_1	IGDvsC	IGD	C	0.2	0.0625	Slight agreement	0.279652473446129	NA
TP2_1	GDvsC	GD	C	0.2	0.0625	Slight agreement	0.279652473446129	NA
TP2_2	HVvsC	HV	C	0.2	-0.0714285714285714	No agreement	0.682583594110089	0.0460117056892314
TP2_2	EPvsC	EP	C	0.2	-0.0714285714285714	No agreement	0.682583594110089	0.0460117056892314
TP2_2	GSvsC	GS	C	0.2	-0.0714285714285714	No agreement	0.682583594110089	0.0460117056892314
RA	EDvsC	ED	C	0.133333333333333	0.0394088669950739	Slight agreement	0.321454620328702	0.00463660543804172
TP2_1	PFSvsC	PFS	C	0.133333333333333	0	Slight agreement	0.5	0.00463660543804172
TP2_1	GSvsC	GS	C	0.0666666666666667	-0.111111111111111	No agreement	0.83793670612119	0.0147608971439907
